kin_ky1_Rm7e2_RSTRT3           size=17G      files=234
kin_ky1_Rm7e2_RSTRT4           size=528M     files=27
kin_ky1_Rm7e2_RSTRT6           size=41G      files=50253
kin_ky1_Rm7e2_RSTRT7           size=17G      files=245
kin_ky1_Rm7e2_RSTRT8           size=17G      files=245
kin_ky1_Rm7e2_RSTRT9           size=17G      files=245
kin-Rm1e3                      size=32M      files=29
kin-Rm3e3                      size=33G      files=458
Lz8pi_nl                       size=1.5G     files=271
nl_ky0p18_Rm1p5e3_fromscratch  size=323G     files=2273
nl_ky0p18_Rm5e3_fromscratch    size=46G      files=91349
nl_ky1_Rm1p5e3_fromscratch     size=323G     files=2277
nl_ky1_Rm3e3                   size=324G     files=2293
nl_ky1_Rm3e3_fresh             size=661M     files=189
nl_ky1_Rm3e3_noiseIC           size=315G     files=2218
nl_ky1_Rm3e3_seed1             size=171G     files=1198
nl_ky1_Rm3e3_seed10            size=128G     files=897
nl_ky1_Rm3e3_seed2             size=150G     files=1049
nl_ky1_Rm3e3_seed3             size=167G     files=1177
nl_ky1_Rm3e3_seed4             size=516K     files=6
nl_ky1_Rm3e3_seed5             size=141G     files=990
nl_ky1_Rm3e3_seed6             size=151G     files=1057
nl_ky1_Rm3e3_seed7             size=173G     files=1214
nl_ky1_Rm3e3_seed8             size=147G     files=1032
nl_ky1_Rm3e3_seed9             size=163G     files=1145
nl_ky1_Rm3p2e3_seed1           size=854M     files=256
nl_ky1_Rm3p2e3_seed10          size=515K     files=4
nl_ky1_Rm3p2e3_seed2           size=1.9G     files=202
nl_ky1_Rm3p2e3_seed3           size=755M     files=215
nl_ky1_Rm3p2e3_seed4           size=850M     files=241
nl_ky1_Rm3p2e3_seed5           size=417M     files=121
nl_ky1_Rm3p2e3_seed6           size=515K     files=4
nl_ky1_Rm3p2e3_seed7           size=515K     files=4
nl_ky1_Rm3p2e3_seed8           size=515K     files=4
nl_ky1_Rm3p2e3_seed9           size=515K     files=4
nl_Lz22_Rm1e2                  size=363M     files=120
nl_Lz22_Rm5e1                  size=160G     files=20372
nl_Lz22_Rm8e1                  size=117G     files=835
nl_Lz2pi_Rm1e3                 size=1.1G     files=327
nl_Lz2pi_Rm1e3_RSTRT           size=84G      files=39843
nl_Lz2pi_Rm1e3_RSTRT1          size=19M      files=7
nl_Lz2pi_Rm1e4                 size=15G      files=121
nl_Lz2pi_Rm1e4_fromscratch     size=931M     files=178
nl_Lz2pi_Rm2e4_fromscratch     size=877M     files=169
nl_Lz2pi_Rm3232_RSTRT5         size=911M     files=258
nl_Lz2pi_Rm3p5e3_seed1         size=498M     files=144
nl_Lz2pi_Rm3p5e3_seed10        size=52M      files=20
nl_Lz2pi_Rm3p5e3_seed2         size=461M     files=133
nl_Lz2pi_Rm3p5e3_seed3         size=429M     files=127
nl_Lz2pi_Rm3p5e3_seed4         size=360M     files=105
nl_Lz2pi_Rm3p5e3_seed5         size=409M     files=119
nl_Lz2pi_Rm3p5e3_seed6         size=488M     files=141
nl_Lz2pi_Rm3p5e3_seed7         size=433M     files=126
nl_Lz2pi_Rm3p5e3_seed8         size=486M     files=140
nl_Lz2pi_Rm3p5e3_seed9         size=459M     files=133
nl_Lz2pi_Rm5e3                 size=858M     files=256
nl_Lz2pi_Rm5e3_fromscratch     size=491M     files=155
nl_Lz2pi_Rm5e3_LOAD1           size=515K     files=4
nl_Lz2pi_Rm5e3_LOAD2           size=515K     files=4
nl_Lz2pi_Rm5e3_LOAD3           size=515K     files=4
nl_Lz2pi_Rm5e3_REDO            size=115M     files=52
nl_Lz2pi_Rm5e3_seed10          size=919M     files=273
nl_Lz2pi_Rm5e3_seed10_REDO     size=90G      files=645
nl_Lz2pi_Rm5e3_seed11          size=918M     files=272
nl_Lz2pi_Rm5e3_seed11_RSTRT1   size=911M     files=258
nl_Lz2pi_Rm5e3_seed12          size=558M     files=160
nl_Lz2pi_Rm5e3_seed13          size=918M     files=273
nl_Lz2pi_Rm5e3_seed13_RSTRT1   size=912M     files=260
nl_Lz2pi_Rm5e3_seed14          size=607M     files=174
nl_Lz2pi_Rm5e3_seed15          size=536M     files=154
nl_Lz2pi_Rm5e3_seed16          size=919M     files=274
nl_Lz2pi_Rm5e3_seed17          size=579M     files=166
nl_Lz2pi_Rm5e3_seed18          size=911M     files=258
nl_Lz2pi_Rm5e3_seed18_RSTRT1   size=682M     files=194
nl_Lz2pi_Rm5e3_seed19          size=396M     files=129
nl_Lz2pi_Rm5e3_seed19_REDO     size=63G      files=447
nl_Lz2pi_Rm5e3_seed2           size=836M     files=251
nl_Lz2pi_Rm5e3_seed20          size=587M     files=168
nl_Lz2pi_Rm5e3_seed21          size=913M     files=262
nl_Lz2pi_Rm5e3_seed21_SNIPPED  size=104M     files=49
nl_Lz2pi_Rm5e3_seed22          size=499M     files=144
nl_Lz2pi_Rm5e3_seed22_REDO     size=97G      files=684
nl_Lz2pi_Rm5e3_seed23          size=911M     files=258
nl_Lz2pi_Rm5e3_seed23_RSTRT1   size=912M     files=261
nl_Lz2pi_Rm5e3_seed23_RSTRT2   size=911M     files=258
nl_Lz2pi_Rm5e3_seed23_RSTRT3   size=289M     files=86
nl_Lz2pi_Rm5e3_seed24          size=593M     files=170
nl_Lz2pi_Rm5e3_seed25          size=615M     files=176
nl_Lz2pi_Rm5e3_seed26          size=911M     files=258
nl_Lz2pi_Rm5e3_seed26_RSTRT1   size=750M     files=213
nl_Lz2pi_Rm5e3_seed27          size=911M     files=258
nl_Lz2pi_Rm5e3_seed28          size=611M     files=175
nl_Lz2pi_Rm5e3_seed29          size=911M     files=258
nl_Lz2pi_Rm5e3_seed29_RSTRT1   size=912M     files=260
nl_Lz2pi_Rm5e3_seed29_RSTRT2   size=603M     files=186
nl_Lz2pi_Rm5e3_seed3           size=918M     files=273
nl_Lz2pi_Rm5e3_seed30          size=844M     files=239
nl_Lz2pi_Rm5e3_seed31          size=889M     files=257
nl_Lz2pi_Rm5e3_seed32          size=798M     files=241
nl_Lz2pi_Rm5e3_seed33          size=405M     files=132
nl_Lz2pi_Rm5e3_seed34          size=1.1G     files=322
nl_Lz2pi_Rm5e3_seed35          size=816M     files=259
nl_Lz2pi_Rm5e3_seed36          size=468M     files=150
nl_Lz2pi_Rm5e3_seed4           size=918M     files=273
nl_Lz2pi_Rm5e3_seed5           size=918M     files=273
nl_Lz2pi_Rm5e3_seed6           size=918M     files=273
nl_Lz2pi_Rm5e3_seed6_RSTRT1    size=804M     files=228
nl_Lz2pi_Rm5e3_seed7           size=918M     files=271
nl_Lz2pi_Rm5e3_seed8           size=919M     files=273
nl_Lz2pi_Rm5e3_seed9           size=918M     files=273
nl_Lz2pi_Rm5e3_seed9_RSTRT1    size=676M     files=193
nl_Lz2pi_Rm5e3_self_kill       size=104M     files=48
nl_Lz2pi_Rm5e3_self_kill_tracked size=57G      files=50273
nl_Lz2pi_Rm6e3                 size=122M     files=54
nl_Lz2pi_Rm6e3_seed1           size=1.1G     files=324
nl_Lz2pi_Rm6e3_seed2           size=698M     files=214
nl_Lz2pi_Rm6e3_seed3           size=515K     files=4
nl_Lz2pi_Rm6e3_seed4           size=515K     files=4
nl_Lz2pi_Rm6e3_seed5           size=515K     files=4
nl_Ny16_Rm5e3                  size=56M      files=13
nl_Ro2_Rm5e3                   size=723M     files=204
noiseNy3                       size=12M      files=26
noiseNy4                       size=232M     files=8
noiseNy4_Lz9pi_RSTRT1          size=1.1G     files=267
noiseNy8                       size=6.4G     files=8161
noiseNy8_2                     size=514K     files=3
noiseNy8_3                     size=934M     files=21
particle_tracker               size=1.1M     files=2
__pycache__                    size=545K     files=2
python                         size=15M      files=43
qlact_Ro3p5_Rm6000             size=20G      files=6460
qlact_Ro3_Rm5000               size=13G      files=119
qlact_Ro4_Rm10000              size=12G      files=5593
qlact_Ro4_Rm10000_RSTRT1       size=2.5G     files=25
qlact_Ro4_Rm5000               size=13G      files=119
qlact_Ro5_Rm10000              size=14G      files=129
qlact_Ro5_Rm8000               size=8.6M     files=9
ql_Ro5_Rm5000                  size=13G      files=1343
Ro10_hydro_Ny16                size=72M      files=9
Ro10_Rm5000_Ny16_revivehydro_noise size=12G      files=1979
Ro1p002_Re1e6_hydro2D          size=19G      files=4799
Ro1p008_Re1e6_hydro2D          size=218M     files=10
Ro1p01_Re1e5_hydro2D           size=17G      files=9014
Ro1p03_Re1e5_hydro2D           size=20G      files=6386
Ro1p03_Re1e5_hydro2D_N512      size=158G     files=30077
Ro1p05_Re1e5_hydro2D           size=3.8G     files=2323
Ro1p05_Re1e5_hydro2D_N512      size=8.8G     files=36
Ro1p1_Re1e4_hydro2D            size=5.0G     files=3048
Ro1p2                          size=701M     files=13
Ro1p2_Rm1200                   size=2.5G     files=41
Ro1p3                          size=541M     files=11
Ro1p5                          size=1.3G     files=774
Ro1p5_Rm1200                   size=2.8G     files=42
Ro1p5_Rm1500                   size=31G      files=14687
Ro1p5_Rm1500_Ly22              size=32G      files=15263
Ro1p5_Rm2000                   size=43G      files=1955
Ro1p5_Rm2000_Ly22              size=37G      files=308
Ro1p5_Rm2000_Ny16              size=191G     files=29425
Ro1p5_Rm2000_Ny16_revive       size=93G      files=20592
Ro1p5_Rm2000_Ny16_RSTRT1       size=377G     files=1196
Ro1p5_Rm200_Ly22               size=40G      files=11189
Ro1p5_Rm3200                   size=67G      files=31923
Ro1p5_Rm400_Ly22               size=34G      files=285
Ro1p8                          size=3.6M     files=6
Ro3_Ly22_Rm900_Ny16_zombie     size=27G      files=5784
Ro3p2_Ly22_Rm900_Ny16_zombie   size=24G      files=98
Ro3p2_Ly22_Rm960_Ny16_zombie   size=50G      files=4841
Ro3p5_Ly22_Lz6pi_2Dhydro       size=19G      files=33
Ro3p5_Ly22_Lz6pi_2Dhydro_squeeze size=192G     files=1061
Ro3p5_Ly22_Lz7pi_2Dhydro       size=92G      files=97
Ro3p5_Ly22_Lz7pi_2Dhydro_RSTRT1 size=44G      files=48
Ro3p5_Ly22_Ny16_revive         size=25G      files=100
Ro3p5_Ly22_Rm1000_Ny16         size=36G      files=1157
Ro3p5_Ly22_Rm1000_Ny16_Lz6pi   size=70G      files=5665
Ro3p5_Ly22_Rm1000_Ny16_skd     size=59G      files=12559
Ro3p5_Ly22_Rm1000_Ny256_skd    size=201M     files=7
Ro3p5_Ly22_Rm1000_Ny32_skd_RSTRT3_hydro size=59G      files=126
Ro3p5_Ly22_Rm1000_Ny64_skd     size=95G      files=6799
Ro3p5_Ly22_Rm1000_Ny64_skd_long size=1.2G     files=9
Ro3p5_Ly22_Rm1000_Ny64_skd_RSTRT size=31G      files=2197
Ro3p5_Ly22_Rm1000_Ny64_skd_RSTRT2 size=113G     files=8106
Ro3p5_Ly22_Rm1000_ql           size=17M      files=23
Ro3p5_Ly22_Rm1000_ql_skd       size=35G      files=287
Ro3p5_Ly22_Rm100_ql_skd        size=366M     files=11
Ro3p5_Ly22_Rm1500_Ny16         size=13G      files=2693
Ro3p5_Ly22_Rm1500_ql           size=4.8G     files=1204
Ro3p5_Ly22_Rm200_ql_skd        size=12G      files=109
Ro3p5_Ly22_Rm300_ql_skd        size=16G      files=146
Ro3p5_Ly22_Rm400_ql_skd        size=22G      files=187
Ro3p5_Ly22_Rm500_ql            size=18G      files=159
Ro3p5_Ly22_Rm500_ql_skd        size=21G      files=184
Ro3p5_Ly22_Rm600_ql_skd        size=25G      files=215
Ro3p5_Ly22_Rm700_ql_skd        size=17G      files=156
Ro3p5_Ly22_Rm800_ql_skd        size=48G      files=22758
Ro3p5_Rm10000_Ny16_revive      size=26G      files=4534
Ro3p5_Rm5000_Ny16_revivehydro  size=38G      files=9622
Ro3p5_Rm6000_Ny16              size=44G      files=1784
Ro3_Re150_hydro2D              size=518K     files=4
Ro3_Re150_Ny16_noise           size=5.8G     files=33
Ro3_Re150_Ny16_noise_RSTRT     size=17G      files=4155
Ro3_Re150_Ny16_noise_RSTRT2    size=6.2G     files=35
Ro3_Rm3200_Ny16                size=406M     files=9
Ro3_Rm5000_Ny16                size=114G     files=25441
Ro3_Rm5000_Ny16_revive         size=16G      files=71
Ro3_Rm5000_Ny16_revivehydro    size=19G      files=79
Ro3_Rm5000_Ny16_revivehydro_noise size=55G      files=14082
Ro3_Rm6000_Ny16                size=702M     files=10
Ro4_Rm5000_Ny16_revive         size=23G      files=4989
Ro5_Ny16_revivehydro_noise     size=14G      files=60
Ro5_Rm5000_Ny16_revive         size=26G      files=103
test                           size=5.3G     files=10
test_kin                       size=5.1M     files=6
